sku		primary		consumer_unit_ean
403820		-1		1077048341460101
403822		-1		1077048341460088
403826		-1		1077044265654411
403831		-1		1077044938616234
349329		-1		1077044265650413
403818		-1		1077044053447218
403805		-1		1073335227865520
403804		-1		1073335227796831
403830		-1		1077047241756529
403806		-1		1077044173916465
349320		0		1074744654695577
349323		-1		1077046641500381
349325		-1		1077046641500510
349338		-1		1073337945529807
349321		-1		1077046641509254
349339		-1		1077040341581404
297667		0		1077048519577402
343894		0		1077046641509551
349329		0		1077044265650406
349321		0		1077046641509261
349323		0		1077046641500329
349325		0		1077046641500473
349338		0		1073337945929904
349339		0		1077040341591403
403804		0		1073335227796824
403805		0		1073335227865513
403806		0		1077044173916458
403818		0		1077044053447225
403811		0		1077048341461757
403812		0		1077048341461733
403813		0		1077048341461719
403814		0		1077048341461610
403815		0		1077048341461672
403816		0		1077048341460552
403828		0		1077048341461696
403829		0		1077048341460095
403820		0		1077048341460194
403821		0		1077048341460033
403822		0		1077048341460071
403826		0		1077044265654428
403830		0		1077047241356521
403831		0		1087044938616231
798471		0		1077044265644191
794143		-1		1077045641816843
794142		-1		1077045641816096
794148		-1		1077045641816607
794141		-1		1077045641816935
794149		-1		1077045641816751
305798		0		1074746171300101
306160		0		1074334845262222
349343		0		1077044265643033
349346		0		1077052141464504
349358		0		1077045541579237
349359		0		1076947673392696
349350		0		1076947672269913
349351		0		1074323414674412
373167		0		1077047941514818
389407		0		1077048519598568
403874		0		1077040741434126
403981		0		1077044265665516
447567		0		1073332060545473
597291		0		1077334561431398
597292		0		1077334561431060
599958		0		1077047941514894
599959		0		1077047941514078
599234		0		1079334645533145
599234		0		1074334790958621
799224		0		1077044005519338
743629		0		1076036659827588
835747		0		1073332060545343
882467		0		1077047941514801
947923		0		1077048982559707
947924		0		1077048982550285
042327		0		1073332060545404
673585		-1		1077044265654473
794301		-1		1077044265654497
798853		-1		1074744677677956
803118		-1		1077044788188257
297437		0		1077042524576962
343971		0		1077049341999141
794301		0		1077044265654404
798853		0		1084744677677199
799299		0		1074746171251724
803070		0		1077040766704921
403985		-1		1076956851863293
403728		0		1076956851847521
403998		-1		1076956851596177
403984		-1		1076956851847538
403982		-1		1076956851996144
403983		-1		1076956851975361
799230		-1		1074935858690509
597344		-1		1077044888675510
597725		-1		1077044888564791
597724		-1		1077044888564708
599778		-1		1077044888564777
584038		-1		1077044888564722
599251		-1		1077044736598879
599252		-1		1077044736598220
599254		-1		1077044736598367
599253		-1		1077044736598299
599259		-1		1077044736574453
349239		0		1077045641801634
349258		-1		1073386341571934
349250		-1		1077046741184597
349251		-1		1077046741184511
349754		-1		1077044265620904
349753		-1		1077044265620942
397843		-1		1077044007582699
563117		-1		1077045641577485
643491		-1		1077044078570403
