	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
2098	RwDYo	{1077044265074776, 1077044265647956, 1077044265647949}	1077044265647956	0170 Chips & sticks	CHIPS PAPRIKA	ambient	0	4522000.0	210	GR
2099	EeR1B	{1077044265075995, 1077044265648670, 1077044265647567}	1077044265648670	0350 Chocoladedranken houdbaar	CHOCOMELK VOL	ambient	0	1153125.0	1105.0	ML
2100	A4BRa	{1077044265647864, 1077044265647857, 1077044265074790}	1077044265647864	0170 Chips & sticks	RIBBELCHIPS NATUREL	ambient	0	3420000.0	209	GR
2101	jY5vV	{1077044265074714, 1077044265647987, 1077044265647970}	1077044265647987	0170 Chips & sticks	RIBBELCHIPS PAPRIKA	ambient	0	3648000.0	209	GR
2102	nQzpG	{1077044265087660, 1077044265647093, 1077044265647086}	1077044265647093	0170 Chips & sticks	CHIPS BOLOGNESE	ambient	0	4522000.0	210	GR
2103	RwDR8	{1077044265089770, 1077044265658068, 1077044265665653, 1077044265665646}	1077044265665653	0072 Beschuit	BESCHUIT NATUREL	ambient	0	1539000.0	120.0	ST
2104	vEzxk	{1077044265089794, 1077044265658044, 1077044265665622, 1077044265665639}	1077044265665639	0072 Beschuit	BESCHUIT VOLKOREN	ambient	0	1714750.0	141.0	ST
2105	qVzrZ	{1079334691510091, 1074344935450729, 1074344935459234, 1074344935525267}	1074344935525267	0232 Kat nat	CATMILK	ambient	0	507000.0	225	ML
2106	0vdpr	{1077044126670673, 1077044126670628}	1077044126670628	0244 Reinigings- & poetsmid.	ZILVER SODA	ambient	0	1440000.0	959.0	GR
2107	DjZEp	{1077044265648984, 1077044265085314, 1077044265648991}	1077044265648991	0193 Limonadesiropen	SINAS SIROOP	ambient	0	1321875.0	1056	ML
2108	46PVP	{1077044265085352, 1077044265648915, 1077044265648908}	1077044265648915	0193 Limonadesiropen	GRENADINE SIROOP	ambient	0	1321875.0	1058	ML
2109	6vDVE	{1077044265085345, 1077044265085338, 1077044265648946, 1077044265648953}	1077044265085345	0193 Limonadesiropen	FRAMBOZEN SIROOP	ambient	0	1321875.0	1061	ML
2110	6vDVE	{1077044265085345, 1077044265085338, 1077044265648946, 1077044265648953}	1077044265648953	0193 Limonadesiropen	FRAMBOZEN SIROOP	ambient	0	1321875.0	1061	ML
2111	RwDpm	{1077044265085376, 1077044265648922, 1077044265648939}	1077044265648939	0193 Limonadesiropen	CASSIS SIROOP	ambient	0	1321875.0	1057	ML
2112	vEzR5	{1077044265648830, 1077044265085390, 1077044265648823}	1077044265648830	0193 Limonadesiropen	AARDBEIENSIROOP	ambient	0	1293750.0	1028	ML
2113	nQzRo	{1077044265648861, 1077044265648977, 1077044265085253}	1077044265648977	0193 Limonadesiropen	BOSVRUCHTEN SIROOP	ambient	0	1321875.0	1060	ML
2114	rnzAR	{1072344011645034, 1079334628625867, 1079334681521069, 1072344011145039}	1072344011145039	0232 Kat nat	GOLD MOUSSE RUND	ambient	0	169000.0	93	GR
2115	OrkQo	{1077044265073328, 1077044265648434, 1077044265648441, 1077044265073335, 1077044265015113}	1077044265073335	0120 Vruchtenconserven	ANANASSTUKJES OP SIROOP 1/2	ambient	0	931500.0	653.0	GR
2116	OrkQo	{1077044265073328, 1077044265648434, 1077044265648441, 1077044265073335, 1077044265015113}	1077044265648441	0120 Vruchtenconserven	ANANASSTUKJES OP SIROOP 1/2	ambient	0	931500.0	653.0	GR
2117	YKeMz	{1077044265623554, 1077044265623547, 1077044265649530, 1077044265649547, 1077044265011900}	1077044265623554	0120 Vruchtenconserven	MANDARIJNEN OP SIROOP 1/3	ambient	0	478125.0	348.0	GR
2118	YKeMz	{1077044265623554, 1077044265623547, 1077044265649530, 1077044265649547, 1077044265011900}	1077044265649547	0120 Vruchtenconserven	MANDARIJNEN OP SIROOP 1/3	ambient	0	478125.0	348.0	GR
2119	mwzK0	{1077044265649486, 1077044265011986, 1077044265649479, 1077044265016639}	1077044265011986	0120 Vruchtenconserven	FRUITCOCKTAIL OP SIROOP 1/2	ambient	0	618750.0	477.0	ML
2120	mwzK0	{1077044265649486, 1077044265011986, 1077044265649479, 1077044265016639}	1077044265649486	0120 Vruchtenconserven	FRUITCOCKTAIL OP SIROOP 1/2	ambient	0	618750.0	477.0	ML
2121	0vd6j	{1077044265647581, 1077044265075957, 1077044265647598}	1077044265647598	0352 Zuiveldranken houdbaar	YOGHURTDRINK AARDBEI	ambient	0	1153125.0	1099.0	ML
2122	MnMbP	{1077044265647536, 1077044265647529, 1077044265075070}	1077044265647536	0352 Zuiveldranken houdbaar	YOGHURTDRINK PERZIK	ambient	0	1076250.0	1066.0	ML
2123	OrkYa	{1077044265647512, 1077044265075001, 1077044265647505, 1077044265075094}	1077044265647512	0352 Zuiveldranken houdbaar	YOGHURTDRINK FRAMBOOS	ambient	0	1153125.0	1100.0	ML
